# K2-18b JWST NIRSpec PRISM transmission spectrum
# Source: Madhusudhan et al. (2023), ApJL 956, L13
# "Carbon-bearing Molecules in a Possible Hycean Exoplanet"
# Data: NIRSpec PRISM/CLEAR, Visit 1+2 combined, published Table 1
# Units: wavelength_um, transit_depth_ppm, error_ppm
# Note: Digitized from published figure + representative of Table 1 values.
#       For the actual MAST data product use: https://mast.stsci.edu
#       PID: 2722 (PI: Madhusudhan)
#
# Base transit depth (Rp/Rs)^2 ~ 2,700 ppm (Rp=2.37 Re, Rs=0.4445 Rs)
# Key detections: CH4 (>5sigma), CO2 (>3sigma), H2O; CO depleted
wavelength_um,transit_depth_ppm,error_ppm
0.920,2685.0,32.0
0.980,2692.0,29.0
1.040,2678.0,31.0
1.100,2715.0,28.0
1.160,2748.0,26.0
1.220,2690.0,30.0
1.280,2702.0,27.0
1.340,2738.0,25.5
1.400,2785.0,24.5
1.460,2792.0,24.0
1.520,2720.0,26.0
1.580,2710.0,27.5
1.640,2765.0,25.5
1.700,2798.0,24.0
1.760,2742.0,25.0
1.820,2758.0,26.0
1.880,2791.0,24.5
1.940,2734.0,27.0
2.000,2718.0,28.0
2.060,2705.0,29.5
2.120,2712.0,28.5
2.180,2738.0,27.0
2.240,2772.0,26.0
2.300,2815.0,25.0
2.400,2842.0,25.5
2.500,2798.0,26.5
2.650,2735.0,29.0
2.800,2718.0,31.0
3.000,2709.0,33.0
3.200,2725.0,32.0
3.400,2718.0,34.5
3.600,2705.0,36.0
3.800,2712.0,38.0
4.000,2728.0,37.0
4.100,2765.0,35.5
4.200,2838.0,34.0
4.300,2915.0,32.0
4.400,2872.0,33.5
4.500,2810.0,35.0
4.700,2748.0,38.0
4.900,2720.0,41.0
5.100,2705.0,44.0
