planet_name,star_type,distance_pc,planet_radius_re,equilibrium_temp_k,tsm_score,hz_position,atmosphere_type,scenario,cloud_fraction,snr_5t,snr_10t,snr_20t,snr_50t,det_5t,det_10t,det_20t,det_50t,min_transits_for_det,published_result,pipeline_agrees
TRAPPIST-1e,M8,12.43,0.92,251.0,9.1,optimistic_hz,earth_like,nominal,0.5,54.05939908999356,69.90403969263956,85.97057000372051,103.72309240724269,True,True,True,True,1,No published JWST spectrum yet,N/A
TRAPPIST-1e,M8,12.43,0.92,251.0,9.1,optimistic_hz,earth_like,pessimistic,0.8,21.62375963599744,27.96161587705584,34.38822800148822,41.4892369628971,True,True,True,True,1,No published JWST spectrum yet,N/A
TRAPPIST-1f,M8,12.43,1.045,219.0,8.3,conservative_hz,earth_like,nominal,0.5,57.4871654883726,73.5710936258657,89.35190988674381,106.12988101116878,True,True,True,True,1,,N/A
TRAPPIST-1f,M8,12.43,1.045,219.0,8.3,conservative_hz,earth_like,pessimistic,0.8,22.99486619534905,29.428437450346294,35.74076395469755,42.45195240446754,True,True,True,True,1,,N/A
TRAPPIST-1d,M8,12.43,0.788,288.0,7.2,inner_hz,earth_like,nominal,0.5,48.15611947409155,63.41020113949581,79.64939931471145,98.92826686490837,True,True,True,True,1,,N/A
TRAPPIST-1d,M8,12.43,0.788,288.0,7.2,inner_hz,earth_like,pessimistic,0.8,19.262447789636603,25.364080455798305,31.859759725884555,39.57130674596332,True,True,True,True,1,,N/A
LHS 1140b,M4,14.99,1.727,235.0,9.8,conservative_hz,earth_like,nominal,0.5,55.784855797136245,61.843878849114326,65.92249363011652,68.99389953331128,True,True,True,True,1,No published JWST spectrum yet,N/A
LHS 1140b,M4,14.99,1.727,235.0,9.8,conservative_hz,earth_like,pessimistic,0.8,22.313942318854483,24.737551539645715,26.368997452046592,27.597559813324498,True,True,True,True,1,No published JWST spectrum yet,N/A
K2-18b,M2.5,38.0,2.37,255.0,93.0,conservative_hz,hycean,nominal,0.5,386.056936801721,427.59718914518885,456.18485079117966,478.0384382140039,True,True,True,True,1,CH4+CO2 detected (Madhusudhan+2023),YES
K2-18b,M2.5,38.0,2.37,255.0,93.0,conservative_hz,hycean,pessimistic,0.8,154.42277472068838,171.03887565807554,182.47394031647184,191.21537528560157,True,True,True,True,1,CH4+CO2 detected (Madhusudhan+2023),YES
TOI-700d,M2,31.1,1.144,268.0,5.1,conservative_hz,earth_like,nominal,0.5,24.18292122553709,28.635621080152486,32.14268014479653,35.13377308441582,True,True,True,True,1,,N/A
TOI-700d,M2,31.1,1.144,268.0,5.1,conservative_hz,earth_like,pessimistic,0.8,9.673168490214836,11.454248432060995,12.85707205791861,14.053509233766329,True,True,True,True,1,,N/A
GJ 1132b,M4,12.62,1.13,585.0,8.7,hot_inner,high_co2,nominal,0.5,50.031937537959514,62.14843538365391,73.7351190930434,86.53827764614522,True,True,True,True,1,,N/A
GJ 1132b,M4,12.62,1.13,585.0,8.7,hot_inner,high_co2,pessimistic,0.8,20.01277501518379,24.859374153461545,29.494047637217335,34.61531105845807,True,True,True,True,1,,N/A
TOI-700e,M2,31.1,0.953,270.0,4.2,optimistic_hz,earth_like,nominal,0.5,23.176106030052832,27.769477510220934,31.498563733607273,34.771189658347275,True,True,True,True,1,,N/A
TOI-700e,M2,31.1,0.953,270.0,4.2,optimistic_hz,earth_like,pessimistic,0.8,9.270442412021131,11.10779100408837,12.599425493442906,13.908475863338904,True,True,True,True,1,,N/A
LHS 1140c,M4,14.99,1.282,370.0,6.4,hot_inner,high_co2,nominal,0.5,55.36672273357661,66.72460135375965,76.90530672379242,87.27188688236757,True,True,True,True,1,,N/A
LHS 1140c,M4,14.99,1.282,370.0,6.4,hot_inner,high_co2,pessimistic,0.8,22.146689093430627,26.689840541503838,30.762122689516943,34.908754752947,True,True,True,True,1,,N/A
GJ 3470b,M1.5,29.4,4.2,600.0,91.0,hot_inner,hycean,nominal,0.5,357.61996806940334,377.1236580816613,388.97905505668666,397.1035438518728,True,True,True,True,1,,N/A
GJ 3470b,M1.5,29.4,4.2,600.0,91.0,hot_inner,hycean,pessimistic,0.8,143.0479872277613,150.84946323266453,155.59162202267464,158.8414175407491,True,True,True,True,1,,N/A
TOI-910b,M0,40.5,2.03,320.0,22.0,inner_hz,earth_like,nominal,0.5,19.40422399010268,22.2356806577736,24.285655866522696,25.90894247214927,True,True,True,True,1,,N/A
TOI-910b,M0,40.5,2.03,320.0,22.0,inner_hz,earth_like,pessimistic,0.8,7.761689596041066,8.894272263109434,9.714262346609072,10.3635769888597,True,True,True,True,2,,N/A
